5886,,,,,,,
83,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
1,56.360405,36.693738,150,60,1,1,20150520
3,55.83001,37.40912,295,60,1,1,20150520
765,68.9626012,33.07273977,5,40,1,1,20150520
3886,52.01050354,113.5567689,312,60,1,1,20150520
7,55.810885,37.812756,265,60,1,1,20150520
8,55.810031,37.7945737,88,80,1,1,20150520
9,55.8110021,37.81538,78,60,1,1,20150520
10,55.7235,37.6928743,302,80,1,1,20150520
11,55.1756273,37.4775303,231,90,1,1,20150520
12,55.7486652,37.7026906,74,80,1,1,20150520
14,56.1811729,37.5158776,19,60,1,1,20150520
15,55.58637,37.73817,310,60,1,1,20150520
16,55.737084,37.6933731,280,60,1,1,20150520
17,55.8021042,37.5273549,295,60,1,1,20150520
19,55.712433,37.665672,350,60,1,1,20150520
20,55.711537,37.665583,171,60,1,1,20150520
21,55.717285,37.451957,346,60,1,1,20150520
22,55.7367699,37.6956959,100,60,1,1,20150520
23,55.667371,37.582765,30,60,1,1,20150520
24,55.789183,37.634713,179,60,1,1,20150520
25,55.6703606,37.6627719,17,60,1,1,20150520
26,55.6661128,37.659151,205,60,1,1,20150520
1716,55.79858081,37.58361697,177,60,1,1,20150520
28,55.7891,37.558621,307,60,1,1,20150520
29,55.406536,38.299598,326,60,1,1,20150520
4912,50.65435822,36.56526804,170,60,1,1,20150520
6709,55.71674101,37.40611911,72,80,1,1,20150520
32,55.658432,37.653987,9,60,1,1,20150520
33,55.660116,37.6544732,207,60,1,1,20150520
34,55.731028,37.55238,55,60,1,1,20150520
36,55.672983,37.457023,229,60,1,1,20150520
37,55.635776,37.542397,207,60,1,1,20150520
38,55.59712771,37.67183244,172,60,1,1,20150520
959,55.58449995,37.67909825,152,60,1,1,20150520
40,55.81889,37.49779,156,80,1,1,20150520
4568,43.53637524,39.80962247,294,80,1,1,20150520
42,55.7874057,37.5934559,330,60,1,1,20150520
43,55.8288874,37.6502701,31,60,1,1,20150520
44,55.7112655,37.5864846,44,60,1,1,20150520
6260,57.08440243,65.61745405,125,60,1,1,20150520
46,55.72013,37.56139,110,80,1,1,20150520
47,55.7163022,37.6866919,244,80,1,1,20150520
48,55.7152755,37.6840391,55,80,1,1,20150520
49,55.7042774,37.6383102,105,80,1,1,20150520
50,55.7605976,37.5352544,14,80,1,1,20150520
51,55.78957232,37.57119061,219,80,1,1,20150520
52,55.78786,37.58797,10,60,1,1,20150520
53,55.7842962,37.5694525,309,60,1,1,20150520
55,55.7191434,37.5650698,303,80,1,1,20150520
56,55.61868534,37.5041354,214,60,1,1,20150520
57,55.790864,37.6562381,141,80,1,1,20150520
58,55.7817984,37.5748974,309,60,1,1,20150520
60,55.86282,37.44847,350,60,1,1,20150520
61,55.86274,37.44841,170,60,1,1,20150520
64,55.7384853,37.6976419,338,80,1,1,20150520
65,55.7384359,37.6974193,175,80,1,1,20150520
66,55.8855715,37.5053825,37,60,1,1,20150520
67,55.792666,37.6050186,267,60,1,1,20150520
68,55.7268538,37.5358629,28,60,1,1,20150520
69,55.7248859,37.5320542,224,60,1,1,20150520
71,55.8809529,37.4456656,145,60,1,1,20150520
72,56.0035346,37.1971512,25,60,1,1,20150520
74,55.9880795,37.1833616,27,60,1,1,20150520
75,55.9979803,37.2113507,341,60,1,1,20150520
