2063,,,,,,,
12,,,,,,,
UID,Y,X,BEARING_ANGLE,SPEED_RESTRICTION,CAMERA_TYPE,DIR_TYPE,Version
,21.955331,120.770048,135,60,1,1,2015Q2
,21.965182,120.758696,315,70,1,1,2015Q2
,21.973965,120.754449,180,70,1,1,2015Q2
,22.04525,120.730445,135,70,1,1,2015Q2
,22.04554,120.730139,315,70,1,1,2015Q2
,22.072855,120.714041,180,50,3,1,2015Q2
,22.144236,120.700458,45,60,3,1,2015Q2
,22.262223,120.65307,0,60,1,1,2015Q2
,22.294703,120.885135,90,60,1,1,2015Q2
,22.294703,120.885163,225,60,1,1,2015Q2
,22.302168,120.643425,0,70,1,1,2015Q2
,22.302207,120.643418,180,70,1,1,2015Q2
,22.323088,120.891818,180,70,1,1,2015Q2
,22.33668,120.614487,180,70,1,1,2015Q2
,22.364385,120.907688,225,60,1,1,2015Q2
,22.36722,120.607894,180,70,1,1,2015Q2
,22.38792,120.593866,180,50,1,1,2015Q2
,22.417737,120.584046,180,70,1,1,2015Q2
,22.418182,120.58391,0,70,1,1,2015Q2
,22.422515,120.537025,135,70,1,1,2015Q2
,22.439487,120.51083,315,70,1,1,2015Q2
,22.440224,120.470175,315,40,1,1,2015Q2
,22.440272,120.470085,135,40,1,1,2015Q2
,22.441732,120.49344,270,40,1,1,2015Q2
,22.456986,120.481914,270,70,1,1,2015Q2
,22.461654,120.466475,90,70,1,1,2015Q2
,22.480808,120.456842,0,50,1,1,2015Q2
,22.487162,120.455507,0,70,1,1,2015Q2
,22.48972,120.529559,90,50,1,1,2015Q2
,22.492523,120.538876,135,70,3,1,2015Q2
,22.499021,120.407061,270,60,3,1,2015Q2
,22.500048,120.403798,90,60,3,1,2015Q2
,22.500514,120.396303,90,60,1,1,2015Q2
,22.502268,120.525462,135,110,1,1,2015Q2
,22.505674,120.370679,135,60,1,1,2015Q2
,22.510127,120.462228,180,60,3,1,2015Q2
,22.510252,120.36303,315,60,1,1,2015Q2
,22.510275,120.36219,90,40,1,1,2015Q2
,22.510314,120.363083,315,40,1,1,2015Q2
,22.51599,120.531017,180,70,3,1,2015Q2
,22.516617,120.362549,225,60,1,1,2015Q2
,22.521091,120.3468,315,40,3,1,2015Q2
,22.521797,120.345683,135,40,3,1,2015Q2
,22.5225,120.397428,225,60,3,1,2015Q2
,22.524277,120.462901,0,60,1,1,2015Q2
,22.524641,120.462886,180,70,1,1,2015Q2
,22.531479,120.403681,45,70,1,1,2015Q2
,22.531779,120.403847,225,70,1,1,2015Q2
,22.53199,120.371282,45,60,1,1,2015Q2
,22.532421,120.414865,225,60,1,1,2015Q2
,22.534118,120.40533,45,70,3,1,2015Q2
,22.5358,120.373289,0,60,1,1,2015Q2
,22.537827,120.543639,45,70,1,1,2015Q2
